states_name,period_of_kind_loan,amount_outstanding_as_of_survey_date,source_of_kind_loan_doctor lawyers and other professionals,source_of_kind_loan_input supplier,source_of_kind_loan_other,source_of_kind_loan_relatives & friends
Himachal Pradesh,2.0,5000,0,0,1,0
Himachal Pradesh,,5000,0,0,0,0
Himachal Pradesh,4.0,10000,0,0,1,0
Himachal Pradesh,,10000,0,0,0,0
Himachal Pradesh,2.0,5200,0,0,1,0
Himachal Pradesh,,5200,0,0,0,0
Himachal Pradesh,3.0,10000,0,1,0,0
Himachal Pradesh,,10000,0,0,0,0
Himachal Pradesh,5.0,4500,0,1,0,0
Himachal Pradesh,,4500,0,0,0,0
Himachal Pradesh,5.0,3500,0,0,0,1
Himachal Pradesh,,3500,0,0,0,0
Himachal Pradesh,3.0,15000,0,1,0,0
Himachal Pradesh,,15000,0,0,0,0
Himachal Pradesh,4.0,25000,1,0,0,0
Himachal Pradesh,,25000,0,0,0,0
Himachal Pradesh,5.0,600,0,0,0,1
Himachal Pradesh,,600,0,0,0,0
Himachal Pradesh,4.0,10000,0,0,1,0
Himachal Pradesh,4.0,25000,0,0,1,0
Himachal Pradesh,,35000,0,0,0,0
Himachal Pradesh,2.0,10000,0,1,0,0
Himachal Pradesh,,10000,0,0,0,0
Himachal Pradesh,2.0,4000,0,1,0,0
Himachal Pradesh,,4000,0,0,0,0
Himachal Pradesh,2.0,3000,0,0,1,0
Himachal Pradesh,,3000,0,0,0,0
Himachal Pradesh,4.0,22000,0,0,1,0
Himachal Pradesh,,22000,0,0,0,0
Himachal Pradesh,5.0,60000,0,0,0,1
Himachal Pradesh,,60000,0,0,0,0
Himachal Pradesh,3.0,25000,0,0,1,0
Himachal Pradesh,,25000,0,0,0,0
Himachal Pradesh,3.0,10000,0,0,1,0
Himachal Pradesh,,10000,0,0,0,0
Himachal Pradesh,3.0,9500,0,0,1,0
Himachal Pradesh,,9500,0,0,0,0
Himachal Pradesh,4.0,30000,0,0,1,0
Himachal Pradesh,,30000,0,0,0,0
Himachal Pradesh,1.0,40000,0,0,1,0
Himachal Pradesh,,40000,0,0,0,0
Himachal Pradesh,3.0,21000,0,0,1,0
Himachal Pradesh,,21000,0,0,0,0
Himachal Pradesh,1.0,1000,0,0,1,0
Himachal Pradesh,,1000,0,0,0,0
Himachal Pradesh,1.0,6000,0,0,1,0
Himachal Pradesh,,6000,0,0,0,0
Himachal Pradesh,2.0,25000,0,0,1,0
Himachal Pradesh,,25000,0,0,0,0
Himachal Pradesh,4.0,1500,0,0,1,0
Himachal Pradesh,,1500,0,0,0,0
Himachal Pradesh,1.0,10000,0,0,1,0
Himachal Pradesh,,10000,0,0,0,0
Himachal Pradesh,2.0,1600,0,0,1,0
Himachal Pradesh,,1600,0,0,0,0
Punjab,3.0,5000,0,0,0,1
Punjab,,5000,0,0,0,0
Punjab,2.0,90000,0,1,0,0
Punjab,,90000,0,0,0,0
Punjab,5.0,30000,0,1,0,0
Punjab,,30000,0,0,0,0
Punjab,3.0,13000,0,1,0,0
Punjab,,13000,0,0,0,0
Punjab,3.0,3500,0,0,1,0
Punjab,,3500,0,0,0,0
Punjab,2.0,3000,0,0,1,0
Punjab,,3000,0,0,0,0
Punjab,3.0,10000,0,0,1,0
Punjab,,10000,0,0,0,0
Punjab,4.0,45000,0,1,0,0
Punjab,,45000,0,0,0,0
Punjab,4.0,30000,0,1,0,0
Punjab,,30000,0,0,0,0
Punjab,2.0,10000,1,0,0,0
Punjab,,10000,0,0,0,0
Punjab,4.0,25000,0,1,0,0
Punjab,,25000,0,0,0,0
Punjab,1.0,1000,0,0,1,0
Punjab,,1000,0,0,0,0
Punjab,4.0,30000,0,1,0,0
Punjab,,30000,0,0,0,0
Punjab,4.0,50000,0,1,0,0
Punjab,,50000,0,0,0,0
Punjab,4.0,8000,0,1,0,0
Punjab,,8000,0,0,0,0
Punjab,2.0,5500,0,1,0,0
Punjab,,5500,0,0,0,0
Punjab,2.0,700,0,1,0,0
Punjab,,700,0,0,0,0
Punjab,3.0,20000,0,1,0,0
Punjab,,20000,0,0,0,0
Punjab,2.0,20000,0,0,1,0
Punjab,,20000,0,0,0,0
Punjab,2.0,2000,0,0,1,0
Punjab,,2000,0,0,0,0
Punjab,2.0,4000,0,0,1,0
Punjab,,4000,0,0,0,0
Punjab,2.0,5000,0,0,1,0
Punjab,,5000,0,0,0,0
Punjab,2.0,4500,0,0,1,0
Punjab,,4500,0,0,0,0
Punjab,3.0,3200,1,0,0,0
Punjab,,3200,0,0,0,0
Punjab,3.0,10000,0,0,1,0
Punjab,,10000,0,0,0,0
Punjab,4.0,15000,0,1,0,0
Punjab,2.0,7000,1,0,0,0
Punjab,2.0,4500,0,0,0,1
Punjab,,26500,0,0,0,0
Punjab,4.0,5000,0,1,0,0
Punjab,2.0,4200,0,0,0,1
Punjab,2.0,3000,1,0,0,0
Punjab,,12200,0,0,0,0
Punjab,3.0,50000,0,1,0,0
Punjab,3.0,3000,0,1,0,0
Punjab,,53000,0,0,0,0
Punjab,4.0,2000,0,1,0,0
Punjab,2.0,1000,0,0,0,1
Punjab,2.0,550,1,0,0,0
Punjab,,3550,0,0,0,0
Punjab,4.0,2200,0,1,0,0
Punjab,2.0,1400,1,0,0,0
Punjab,2.0,1100,0,0,0,1
Punjab,,4700,0,0,0,0
Punjab,4.0,7000,0,1,0,0
Punjab,2.0,5500,0,0,0,1
Punjab,2.0,3000,0,0,0,1
Punjab,,15500,0,0,0,0
Punjab,4.0,4200,0,1,0,0
Punjab,3.0,1000,1,0,0,0
Punjab,,5200,0,0,0,0
Punjab,4.0,3000,1,0,0,0
Punjab,,3000,0,0,0,0
Punjab,2.0,15000,1,0,0,0
Punjab,,15000,0,0,0,0
Punjab,2.0,2000,0,1,0,0
Punjab,,2000,0,0,0,0
Punjab,4.0,118000,0,0,1,0
Punjab,,118000,0,0,0,0
Punjab,3.0,30000,0,1,0,0
Punjab,,30000,0,0,0,0
Punjab,2.0,1500,0,0,1,0
Punjab,,1500,0,0,0,0
Punjab,2.0,300,1,0,0,0
Punjab,,300,0,0,0,0
Punjab,3.0,1200,0,1,0,0
Punjab,,1200,0,0,0,0
Punjab,4.0,1500,0,1,0,0
Punjab,3.0,200,1,0,0,0
Punjab,,1700,0,0,0,0
Punjab,3.0,1000,1,0,0,0
Punjab,3.0,6500,0,1,0,0
Punjab,,7500,0,0,0,0
Punjab,2.0,50000,1,0,0,0
Punjab,,50000,0,0,0,0
Punjab,2.0,9000,1,0,0,0
Punjab,,9000,0,0,0,0
Punjab,2.0,4000,0,0,0,1
Punjab,,4000,0,0,0,0
Punjab,3.0,35000,0,0,0,1
Punjab,,35000,0,0,0,0
Punjab,2.0,52000,1,0,0,0
Punjab,,52000,0,0,0,0
Punjab,2.0,3000,1,0,0,0
Punjab,3.0,55000,1,0,0,0
Punjab,,58000,0,0,0,0
Punjab,4.0,40000,0,0,0,1
Punjab,,40000,0,0,0,0
Punjab,4.0,1400,0,0,0,1
Punjab,3.0,2300,1,0,0,0
Punjab,,3700,0,0,0,0
Punjab,2.0,3500,1,0,0,0
Punjab,,3500,0,0,0,0
Punjab,1.0,8000,1,0,0,0
Punjab,,8000,0,0,0,0
Punjab,2.0,2200,0,0,0,1
Punjab,,2200,0,0,0,0
Punjab,2.0,1200,0,1,0,0
Punjab,,1200,0,0,0,0
Punjab,4.0,4000,0,1,0,0
Punjab,,4000,0,0,0,0
Punjab,2.0,6000,0,1,0,0
Punjab,,6000,0,0,0,0
Punjab,4.0,85000,0,1,0,0
Punjab,,85000,0,0,0,0
Punjab,2.0,2200,0,0,0,1
Punjab,,2200,0,0,0,0
Punjab,1.0,3000,0,1,0,0
Punjab,,3000,0,0,0,0
Punjab,5.0,6000,0,1,0,0
Punjab,,6000,0,0,0,0
Punjab,3.0,10000,0,1,0,0
Punjab,,10000,0,0,0,0
Punjab,3.0,20000,0,1,0,0
Punjab,,20000,0,0,0,0
Punjab,1.0,5300,0,0,1,0
Punjab,,5300,0,0,0,0
Punjab,1.0,1500,0,1,0,0
